https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XMR
1712793600000,2024-04-11 00:00:00,XMR/USD,133.43,135.73,132.1,133.62,140339.95003090618,1050.2914985099999
1712707200000,2024-04-10 00:00:00,XMR/USD,133.31,136.73,130.1,133.7,346068.57104822097,2588.39619333
1712620800000,2024-04-09 00:00:00,XMR/USD,136.79,140.0,129.83,133.43,959829.6510066914,7193.50708991
1712534400000,2024-04-08 00:00:00,XMR/USD,131.39,136.91,130.33,136.41,551426.2893783574,4042.41836653
1712448000000,2024-04-07 00:00:00,XMR/USD,131.86,135.21,128.46,131.07,423345.7735124265,3229.92121395
1712361600000,2024-04-06 00:00:00,XMR/USD,126.5,132.66,126.5,131.88,231000.44326873918,1751.59571784
1712275200000,2024-04-05 00:00:00,XMR/USD,131.7,132.16,125.03,126.64,303309.5944753496,2395.05365189
1712188800000,2024-04-04 00:00:00,XMR/USD,128.4,132.21,127.38,131.7,502102.41718626296,3812.47089739
1712102400000,2024-04-03 00:00:00,XMR/USD,122.07,129.62,120.06,128.56,356251.7707385696,2771.09342516
1712016000000,2024-04-02 00:00:00,XMR/USD,123.13,123.52,116.22,122.26,257510.32747967637,2106.25165614
1711929600000,2024-04-01 00:00:00,XMR/USD,128.44,129.56,119.46,122.86,367097.3537765714,2987.93222999
1711843200000,2024-03-31 00:00:00,XMR/USD,129.05,130.03,127.41,128.62,378453.84138843644,2942.41829722
1711756800000,2024-03-30 00:00:00,XMR/USD,132.5,133.59,126.83,128.88,233087.6594491056,1808.56346562
1711670400000,2024-03-29 00:00:00,XMR/USD,134.83,137.43,129.67,132.54,370868.92208268354,2798.16600334
1711584000000,2024-03-28 00:00:00,XMR/USD,138.03,140.25,134.92,135.13,215177.949575836,1592.3773372
1711497600000,2024-03-27 00:00:00,XMR/USD,135.07,141.2,134.2,138.0,317133.49870008003,2298.06883116
1711411200000,2024-03-26 00:00:00,XMR/USD,142.55,143.23,132.88,135.19,548854.0370291704,4059.87156616
1711324800000,2024-03-25 00:00:00,XMR/USD,141.64,143.15,139.81,142.47,233881.7972093433,1641.62137439
1711238400000,2024-03-24 00:00:00,XMR/USD,139.41,143.82,139.41,141.9,345021.18575486104,2431.43894119
1711152000000,2024-03-23 00:00:00,XMR/USD,134.84,140.12,133.66,138.82,263588.5348894622,1898.77924571
1711065600000,2024-03-22 00:00:00,XMR/USD,138.08,141.01,131.16,134.55,167581.52707216053,1245.49629931
1710979200000,2024-03-21 00:00:00,XMR/USD,139.99,144.86,137.92,138.35,300755.611263804,2173.87503624
1710892800000,2024-03-20 00:00:00,XMR/USD,134.16,142.68,129.37,139.71,434769.5545670745,3111.94298595
1710806400000,2024-03-19 00:00:00,XMR/USD,140.71,141.54,128.69,134.3,336813.042338981,2507.9154306699998
1710720000000,2024-03-18 00:00:00,XMR/USD,140.71,141.91,136.63,140.98,163895.682318235,1162.54562575
1710633600000,2024-03-17 00:00:00,XMR/USD,139.54,145.24,136.54,139.64,155936.33346098158,1116.70247394
1710547200000,2024-03-16 00:00:00,XMR/USD,142.71,148.87,135.01,138.51,390924.2301401628,2822.35383828
1710460800000,2024-03-15 00:00:00,XMR/USD,146.49,147.43,138.75,141.93,215361.88426268642,1517.38099248
1710374400000,2024-03-14 00:00:00,XMR/USD,149.97,150.96,140.82,146.33,279689.9412250903,1911.36432191
1710288000000,2024-03-13 00:00:00,XMR/USD,144.65,150.15,143.81,149.79,280261.4651337255,1871.02920845
1710201600000,2024-03-12 00:00:00,XMR/USD,144.54,147.17,142.03,144.78,586109.6508714451,4048.27773775
1710115200000,2024-03-11 00:00:00,XMR/USD,146.29,146.74,142.19,144.92,523689.35478234914,3613.64445751
1710028800000,2024-03-10 00:00:00,XMR/USD,143.16,148.5,141.87,146.37,331276.15857513866,2263.2790775099998
1709942400000,2024-03-09 00:00:00,XMR/USD,146.69,148.3,140.86,143.17,862910.7290613812,6027.17558889
1709856000000,2024-03-08 00:00:00,XMR/USD,143.51,150.67,142.43,147.24,387962.2159280064,2634.8968753599997
1709769600000,2024-03-07 00:00:00,XMR/USD,144.24,148.53,138.23,143.98,485120.50999317534,3369.3603972299998
1709683200000,2024-03-06 00:00:00,XMR/USD,141.48,151.49,138.37,144.09,632262.880291319,4387.9719639899995
1709596800000,2024-03-05 00:00:00,XMR/USD,149.59,150.48,131.88,141.08,677070.5613910357,4799.19592707
1709510400000,2024-03-04 00:00:00,XMR/USD,150.9,150.97,143.12,149.47,523147.9329945061,3500.01962263
1709424000000,2024-03-03 00:00:00,XMR/USD,146.34,153.42,143.94,151.1,297613.713353535,1969.64734185
1709337600000,2024-03-02 00:00:00,XMR/USD,144.02,146.31,140.03,146.31,273961.5236453337,1872.47299327
1709251200000,2024-03-01 00:00:00,XMR/USD,138.08,146.0,137.23,144.2,330215.80052172596,2289.98474703
1709164800000,2024-02-29 00:00:00,XMR/USD,134.44,141.09,133.97,138.04,269904.8908718736,1955.26579884
1709078400000,2024-02-28 00:00:00,XMR/USD,137.47,141.18,133.82,134.7,320761.95732900297,2381.30629049
1708992000000,2024-02-27 00:00:00,XMR/USD,132.81,144.46,132.51,136.79,628620.8750428883,4595.51776477
1708905600000,2024-02-26 00:00:00,XMR/USD,127.76,134.24,127.6,132.49,326558.4446619633,2464.77805617
1708819200000,2024-02-25 00:00:00,XMR/USD,123.81,128.7,123.14,128.3,131916.91425405702,1028.19106979
1708732800000,2024-02-24 00:00:00,XMR/USD,124.16,125.07,122.08,123.71,265757.6675884421,2148.23108551
1708646400000,2024-02-23 00:00:00,XMR/USD,123.88,124.5,120.89,123.77,206187.0372747988,1665.88864244
1708560000000,2024-02-22 00:00:00,XMR/USD,123.15,124.93,121.19,123.97,154171.4839317268,1243.61929444
1708473600000,2024-02-21 00:00:00,XMR/USD,124.1,125.74,116.43,123.1,269290.50004174997,2187.5751425
1708387200000,2024-02-20 00:00:00,XMR/USD,112.78,126.76,112.37,123.83,672892.7846301276,5434.00455972
1708300800000,2024-02-19 00:00:00,XMR/USD,121.87,123.04,109.65,113.17,904704.1674612801,7994.20489053
1708214400000,2024-02-18 00:00:00,XMR/USD,121.08,123.34,118.73,122.2,206180.13448071,1687.23514305
1708128000000,2024-02-17 00:00:00,XMR/USD,122.47,122.47,118.26,121.17,185516.0124277971,1531.03913863
1708041600000,2024-02-16 00:00:00,XMR/USD,125.8,128.87,120.22,122.9,331282.37295512605,2695.54412494
1707955200000,2024-02-15 00:00:00,XMR/USD,128.17,129.03,124.47,125.71,399696.0048245541,3179.50843071
1707868800000,2024-02-14 00:00:00,XMR/USD,127.94,131.67,126.55,128.1,616219.558095519,4810.45712799
1707782400000,2024-02-13 00:00:00,XMR/USD,126.7,128.73,122.21,128.2,879197.27543939,6858.01306895
1707696000000,2024-02-12 00:00:00,XMR/USD,120.77,128.4,118.06,126.32,687380.5200714295,5441.58106453
1707609600000,2024-02-11 00:00:00,XMR/USD,119.01,123.2,116.93,120.57,192890.1328557096,1599.81863528
1707523200000,2024-02-10 00:00:00,XMR/USD,121.72,123.6,115.48,119.18,240996.9389750234,2022.12568363
1707436800000,2024-02-09 00:00:00,XMR/USD,127.71,129.0,119.92,121.85,441493.0565378085,3623.25036141
1707350400000,2024-02-08 00:00:00,XMR/USD,130.61,131.97,117.79,128.34,677416.6754588989,5278.29729982
1707264000000,2024-02-07 00:00:00,XMR/USD,104.59,134.5,103.7,130.27,2291795.0753170876,17592.65429736
1707177600000,2024-02-06 00:00:00,XMR/USD,164.91,166.74,100.27,104.8,3495247.953661096,33351.60261127
1707091200000,2024-02-05 00:00:00,XMR/USD,166.05,168.04,163.36,165.44,42498.1158638432,256.87932703
1707004800000,2024-02-04 00:00:00,XMR/USD,165.33,167.74,164.8,165.9,95141.819051286,573.48896354
1706918400000,2024-02-03 00:00:00,XMR/USD,169.36,169.88,162.52,165.41,224054.39769233848,1354.53961485
1706832000000,2024-02-02 00:00:00,XMR/USD,165.72,171.0,165.37,168.62,103063.7129565976,611.21879348
1706745600000,2024-02-01 00:00:00,XMR/USD,163.69,169.53,163.69,166.4,256954.101728896,1544.19532289
1706659200000,2024-01-31 00:00:00,XMR/USD,159.81,166.85,158.5,163.7,139617.585963805,852.88690265
1706572800000,2024-01-30 00:00:00,XMR/USD,168.15,171.86,159.8,160.07,118757.97467364158,741.91275488
1706486400000,2024-01-29 00:00:00,XMR/USD,160.16,169.8,159.97,168.13,288222.4327262935,1714.28318995
