https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume REP
1688947200000,2023-07-10 00:00:00,REP/USD,3.0355,3.1797,3.0355,3.0497,3.4425374989449997,1.12881185
1688860800000,2023-07-09 00:00:00,REP/USD,3.1797,3.1797,2.7814,3.1797,116.881207031898,36.75856434
1688774400000,2023-07-08 00:00:00,REP/USD,3.1796,3.1797,2.7176,3.1797,103.97085541731,32.6983223
1688688000000,2023-07-07 00:00:00,REP/USD,2.6853,3.18,2.6853,2.7148,92.68507421998001,34.14066385
1688601600000,2023-07-06 00:00:00,REP/USD,3.18,3.18,2.6304,3.14,181.828323202,57.9071093
1688515200000,2023-07-05 00:00:00,REP/USD,3.6799,3.6799,2.5,3.0923,547.788620576504,177.14601448
1688428800000,2023-07-04 00:00:00,REP/USD,4.7522,4.8826,2.4,3.68,429.66582760160003,116.75701837
1688342400000,2023-07-03 00:00:00,REP/USD,5.0448,5.0705,3.4696,3.8823,119.565116469066,30.79749542
1688256000000,2023-07-02 00:00:00,REP/USD,3.8833,5.0648,3.4568,3.4693,285.00434948410606,82.15039042000001
1688169600000,2023-07-01 00:00:00,REP/USD,4.0808,4.0809,3.4404,3.8834,3268.3119495992664,841.6109464900001
1688083200000,2023-06-30 00:00:00,REP/USD,4.1744,4.1744,3.3512,4.0809,25812.40971560403,6325.17574937
1687996800000,2023-06-29 00:00:00,REP/USD,4.7691,4.789,3.6658,4.1614,10295.54783785098,2474.05869127
1687910400000,2023-06-28 00:00:00,REP/USD,4.9816,4.9894,4.3035,4.7521,3897.8413912750784,820.23555718
1687824000000,2023-06-27 00:00:00,REP/USD,4.9419,5.0048,4.6678,4.7752,2560.229135651376,536.15118438
1687737600000,2023-06-26 00:00:00,REP/USD,5.1329,5.1329,4.3654,4.9564,3079.2977739315284,621.2770910200001
1687651200000,2023-06-25 00:00:00,REP/USD,5.2209,5.23,4.9663,5.1413,147.696460689764,28.72745428
1687564800000,2023-06-24 00:00:00,REP/USD,5.4428,5.5245,4.9435,5.2368,153.65484771604798,29.34136261
1687478400000,2023-06-23 00:00:00,REP/USD,5.1275,5.4813,4.9404,5.4813,154.091381305125,28.11219625
1687392000000,2023-06-22 00:00:00,REP/USD,5.562,5.7722,4.8682,4.9403,283.64124328711796,57.41376906
1687305600000,2023-06-21 00:00:00,REP/USD,5.6194,5.7175,4.6365,4.8844,711.5052952185521,145.66892458
1687219200000,2023-06-20 00:00:00,REP/USD,5.7162,5.9284,4.6446,5.6148,968.5250837758799,172.49502809999998
1687132800000,2023-06-19 00:00:00,REP/USD,5.7214,5.9349,4.594,5.7179,259.500364574329,45.38385851
