https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume EDO
1685318400000,2023-05-29 00:00:00,EDO/USD,0.12398,0.12399,0.11809,0.12399,5.4529040994828,43.97857972
1685232000000,2023-05-28 00:00:00,EDO/USD,0.12269,0.12499,0.089477,0.11796,5879.835090342262,49846.00788693
1685145600000,2023-05-27 00:00:00,EDO/USD,0.12545,0.12612,0.11696,0.12269,980.2974680633636,7990.03560244
1685059200000,2023-05-26 00:00:00,EDO/USD,0.11894,0.12636,0.11342,0.11864,910.5467842503448,7674.87174857
1684972800000,2023-05-25 00:00:00,EDO/USD,0.11594,0.12071,0.11371,0.11894,762.8184507154866,6413.47276539
1684886400000,2023-05-24 00:00:00,EDO/USD,0.12966,0.12989,0.11511,0.12069,884.20362909921,7326.237709
1684800000000,2023-05-23 00:00:00,EDO/USD,0.1297,0.13534,0.11492,0.12966,7795.340680176217,60121.39966201
1684713600000,2023-05-22 00:00:00,EDO/USD,0.13251,0.13312,0.12493,0.1297,215.69713299160904,1663.04651497
1684627200000,2023-05-21 00:00:00,EDO/USD,0.12643,0.13715,0.12636,0.13068,955.9376231986944,7315.10271808
1684540800000,2023-05-20 00:00:00,EDO/USD,0.12846,0.1306,0.12532,0.12652,152.71013684783557,1207.0039270299999
1684454400000,2023-05-19 00:00:00,EDO/USD,0.1265,0.13232,0.12644,0.1298,256.689228167328,1977.57494736
1684368000000,2023-05-18 00:00:00,EDO/USD,0.1293,0.1298,0.12363,0.12869,309.4449698516317,2404.57665593
1684281600000,2023-05-17 00:00:00,EDO/USD,0.14066,0.14068,0.12297,0.1293,491.85276337952695,3803.96568739
1684195200000,2023-05-16 00:00:00,EDO/USD,0.12116,0.14736,0.12,0.14067,4875.748581669821,34660.8984266
1684108800000,2023-05-15 00:00:00,EDO/USD,0.12301,0.12544,0.12013,0.12034,237.2299343428806,1971.33068259
1684022400000,2023-05-14 00:00:00,EDO/USD,0.12053,0.12487,0.11926,0.12302,251.18367234461402,2041.8116757
1683936000000,2023-05-13 00:00:00,EDO/USD,0.12611,0.12711,0.11896,0.12144,364.1537789101344,2998.63124926
1683849600000,2023-05-12 00:00:00,EDO/USD,0.11963,0.13003,0.11297,0.12712,452.59375885552083,3560.36625909
1683763200000,2023-05-11 00:00:00,EDO/USD,0.12557,0.1288,0.11083,0.12003,1916.193699700752,15964.2897584
