https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XVG
1716768000000,2024-05-27 00:00:00,XVG/USD,0.0055447,0.0060059,0.005479,0.0059142,11367.379694888445,1922048.57713443
1716681600000,2024-05-26 00:00:00,XVG/USD,0.0056894,0.0057286,0.00547,0.0055259,4400.082584602729,796265.32955767
1716595200000,2024-05-25 00:00:00,XVG/USD,0.0056195,0.0057515,0.0056144,0.0056857,4373.226724560832,769162.4117629899
1716508800000,2024-05-24 00:00:00,XVG/USD,0.0056016,0.0056812,0.0054246,0.0056181,1489.420089300355,265110.99647574
1716422400000,2024-05-23 00:00:00,XVG/USD,0.0058908,0.0060071,0.0053,0.0056279,6146.799841061177,1092201.32572739
1716336000000,2024-05-22 00:00:00,XVG/USD,0.0059816,0.0060378,0.0057846,0.0058656,1018.6556799073475,173666.06654176
1716249600000,2024-05-21 00:00:00,XVG/USD,0.0061518,0.0062234,0.0059652,0.006016,10873.203950399744,1807380.97579783
1716163200000,2024-05-20 00:00:00,XVG/USD,0.0054985,0.0061565,0.0054,0.0061102,8329.673890856715,1363240.79258563
1716076800000,2024-05-19 00:00:00,XVG/USD,0.0057125,0.0057986,0.0055,0.0055161,9317.417763236228,1689131.40864673
1715990400000,2024-05-18 00:00:00,XVG/USD,0.0059794,0.0062079,0.0057141,0.0057251,4437.379689102093,775074.61688042
1715904000000,2024-05-17 00:00:00,XVG/USD,0.0059809,0.0061035,0.0058811,0.0059599,6306.805830377037,1058206.65285945
1715817600000,2024-05-16 00:00:00,XVG/USD,0.0059111,0.0061206,0.0056227,0.0059425,2220.8015664724117,373715.03011736
1715731200000,2024-05-15 00:00:00,XVG/USD,0.0055757,0.0058456,0.0054463,0.0058456,1943.5665704378937,332483.67497569
1715644800000,2024-05-14 00:00:00,XVG/USD,0.0057258,0.0059056,0.0055193,0.0055454,3303.823668690903,595777.34134434
1715558400000,2024-05-13 00:00:00,XVG/USD,0.0059552,0.0060055,0.0055941,0.0057212,6768.8118029980515,1183110.50181746
1715472000000,2024-05-12 00:00:00,XVG/USD,0.0060392,0.006424,0.0059149,0.0059149,11355.193360331845,1919760.8345587999
1715385600000,2024-05-11 00:00:00,XVG/USD,0.0057285,0.0064769,0.0056305,0.0060056,17248.08519585504,2872000.33233233
1715299200000,2024-05-10 00:00:00,XVG/USD,0.0060736,0.0063564,0.0056239,0.005738,19198.234745922902,3345805.98569587
1715212800000,2024-05-09 00:00:00,XVG/USD,0.0051093,0.0069163,0.00506,0.0060214,33361.495594848624,5540488.19125928
1715126400000,2024-05-08 00:00:00,XVG/USD,0.0052115,0.0052906,0.0049801,0.0051427,1386.9929398018753,269701.31250158
1715040000000,2024-05-07 00:00:00,XVG/USD,0.0053535,0.0054912,0.0051844,0.0051993,4942.228162897601,950556.45238736
1714953600000,2024-05-06 00:00:00,XVG/USD,0.0053135,0.00563,0.0052339,0.0053343,5903.166669235934,1106643.17140692
1714867200000,2024-05-05 00:00:00,XVG/USD,0.005201,0.0054055,0.0050802,0.0053069,2148.9558986911757,404936.19602615
1714780800000,2024-05-04 00:00:00,XVG/USD,0.0051891,0.0053413,0.0051013,0.0052086,3468.5583540046355,665929.1083985401
1714694400000,2024-05-03 00:00:00,XVG/USD,0.0049727,0.0052395,0.0048477,0.005229,10590.387336641395,2025317.90717946
1714608000000,2024-05-02 00:00:00,XVG/USD,0.004801,0.005022,0.0046716,0.0049552,1071.9010111268346,216318.41522579
1714521600000,2024-05-01 00:00:00,XVG/USD,0.0048082,0.0049683,0.0044027,0.0048376,6859.198652925508,1417892.89170777
1714435200000,2024-04-30 00:00:00,XVG/USD,0.0051543,0.0052121,0.0045444,0.0047996,2783.4182134494527,579927.12172878
1714348800000,2024-04-29 00:00:00,XVG/USD,0.0052706,0.0052979,0.0050385,0.0051712,833.9084759316024,161260.14772811
1714262400000,2024-04-28 00:00:00,XVG/USD,0.0054568,0.005586,0.0052461,0.0052611,812.1620656335688,154371.15159065
1714176000000,2024-04-27 00:00:00,XVG/USD,0.0054512,0.005497,0.0052622,0.0054539,372.45524894679477,68291.54347289
1714089600000,2024-04-26 00:00:00,XVG/USD,0.005734,0.005734,0.0054156,0.0054462,4204.591424482061,772022.95627815
1714003200000,2024-04-25 00:00:00,XVG/USD,0.005805,0.0058831,0.0055302,0.0057517,2855.9184343139827,496534.665284
1713916800000,2024-04-24 00:00:00,XVG/USD,0.0062294,0.0064346,0.0057275,0.0058016,7321.583793642318,1261993.89713912
1713830400000,2024-04-23 00:00:00,XVG/USD,0.0062379,0.0063192,0.0060459,0.0061909,5282.345696575188,853243.58277071
1713744000000,2024-04-22 00:00:00,XVG/USD,0.0059742,0.0062855,0.005969,0.0062112,1130.9055019612433,182075.20317511001
1713657600000,2024-04-21 00:00:00,XVG/USD,0.0060573,0.0061202,0.0057602,0.0059635,1211.886668238417,203217.35025378
1713571200000,2024-04-20 00:00:00,XVG/USD,0.0056647,0.006116,0.0055405,0.0060951,2530.5498626908357,415177.74321846
1713484800000,2024-04-19 00:00:00,XVG/USD,0.0056193,0.0057858,0.0050668,0.0056278,2040.1113456354603,362506.01400822
1713398400000,2024-04-18 00:00:00,XVG/USD,0.0056092,0.0057335,0.0054318,0.0056038,4517.047184065387,806068.59346611
1713312000000,2024-04-17 00:00:00,XVG/USD,0.0057581,0.0058689,0.0054,0.0056282,1286.8508279022044,228643.40782172
1713225600000,2024-04-16 00:00:00,XVG/USD,0.00571,0.0059277,0.0054949,0.005775,6074.330025543895,1051832.03905522
1713139200000,2024-04-15 00:00:00,XVG/USD,0.0063382,0.0065793,0.00556,0.0057727,8373.61512512905,1450554.35500356
1713052800000,2024-04-14 00:00:00,XVG/USD,0.005994,0.0066144,0.0057308,0.0063738,14406.789397956603,2260314.00388412
1712966400000,2024-04-13 00:00:00,XVG/USD,0.0072292,0.0075672,0.0052769,0.006078,11540.906877991121,1898800.07864283
1712880000000,2024-04-12 00:00:00,XVG/USD,0.0086479,0.0092285,0.0067597,0.0072282,36806.241561892,5092034.19411361
1712793600000,2024-04-11 00:00:00,XVG/USD,0.0086787,0.0093547,0.0085,0.0086174,40616.797111015425,4713347.0781228
1712707200000,2024-04-10 00:00:00,XVG/USD,0.0098127,0.010042,0.0084,0.0087102,36116.79552551553,4146494.40030258
1712620800000,2024-04-09 00:00:00,XVG/USD,0.0091135,0.01101,0.0087645,0.0099181,90176.74010569678,9092138.62591593
1712534400000,2024-04-08 00:00:00,XVG/USD,0.008752,0.0091887,0.00854,0.0091379,22344.161140148124,2445218.39155037
1712448000000,2024-04-07 00:00:00,XVG/USD,0.0084797,0.0092138,0.0083407,0.0088197,37873.108106640815,4294149.24619214
1712361600000,2024-04-06 00:00:00,XVG/USD,0.0085601,0.0088984,0.0083981,0.0084806,37896.56758930088,4468618.68137878
1712275200000,2024-04-05 00:00:00,XVG/USD,0.0086879,0.00932,0.0083054,0.008624,31037.83556233169,3599006.90657835
1712188800000,2024-04-04 00:00:00,XVG/USD,0.010787,0.010997,0.008661,0.0087547,78801.26919240304,9001024.50025735
1712102400000,2024-04-03 00:00:00,XVG/USD,0.012587,0.0149,0.010834,0.010858,181641.9808756524,16728861.74946145
1712016000000,2024-04-02 00:00:00,XVG/USD,0.010318,0.014828,0.0089548,0.012512,192699.76314736865,15401195.90372192
1711929600000,2024-04-01 00:00:00,XVG/USD,0.0068125,0.010544,0.0067886,0.010382,72092.88775025409,6944026.94569968
1711843200000,2024-03-31 00:00:00,XVG/USD,0.0066761,0.0070964,0.0066761,0.0068208,5666.111328602417,830710.6686316
1711756800000,2024-03-30 00:00:00,XVG/USD,0.0067289,0.0068434,0.0065551,0.0066883,4201.874448445708,628242.52028852
1711670400000,2024-03-29 00:00:00,XVG/USD,0.006303,0.0074881,0.0062304,0.0067634,17604.341273992544,2602883.3536376
1711584000000,2024-03-28 00:00:00,XVG/USD,0.0063781,0.0064298,0.0061727,0.0063385,499.0432041551924,78732.06660175
1711497600000,2024-03-27 00:00:00,XVG/USD,0.0065719,0.0066426,0.0062982,0.0063451,1103.7638339724135,173955.30944704
1711411200000,2024-03-26 00:00:00,XVG/USD,0.0062475,0.0065732,0.0062435,0.0065475,2114.976905288408,323020.52772637
1711324800000,2024-03-25 00:00:00,XVG/USD,0.0060106,0.0066021,0.005988,0.0062249,2684.9819728452208,431329.33426163
1711238400000,2024-03-24 00:00:00,XVG/USD,0.0058034,0.006051,0.005631,0.0060131,2602.9632700584975,432882.08578911
1711152000000,2024-03-23 00:00:00,XVG/USD,0.0056805,0.0059206,0.0055921,0.0057384,5317.7685760425275,926698.83173751
1711065600000,2024-03-22 00:00:00,XVG/USD,0.0057831,0.0059436,0.005448,0.0056643,1266.2218788658952,223544.28241193
1710979200000,2024-03-21 00:00:00,XVG/USD,0.0056862,0.0058469,0.0055522,0.0057765,1720.0439706978686,297765.7700507
1710892800000,2024-03-20 00:00:00,XVG/USD,0.0051089,0.0057692,0.0049317,0.0057406,1768.6846660028855,308101.01139304
1710806400000,2024-03-19 00:00:00,XVG/USD,0.0056908,0.0057106,0.0049738,0.0050541,2780.3460483910176,550116.94434044
1710720000000,2024-03-18 00:00:00,XVG/USD,0.0061039,0.0061648,0.0056091,0.0057016,1127.1434898519556,197688.98026027
1710633600000,2024-03-17 00:00:00,XVG/USD,0.005936,0.0062424,0.0056417,0.0061458,1109.8334237986737,180584.04500613
1710547200000,2024-03-16 00:00:00,XVG/USD,0.0066416,0.0068342,0.0057617,0.0058187,789.1846847650769,135629.03823278
1710460800000,2024-03-15 00:00:00,XVG/USD,0.0069619,0.0070459,0.006083,0.006602,2513.2868085193845,380685.67229921
1710374400000,2024-03-14 00:00:00,XVG/USD,0.0070165,0.0070636,0.0066091,0.0069215,6123.371922741514,884688.56790313
1710288000000,2024-03-13 00:00:00,XVG/USD,0.007506,0.0075089,0.0069013,0.0070555,2509.649254196429,355701.12028863
1710201600000,2024-03-12 00:00:00,XVG/USD,0.0065231,0.0082579,0.0063627,0.007581,13190.802000405545,1739981.79665025
1710115200000,2024-03-11 00:00:00,XVG/USD,0.0061989,0.0066405,0.0060041,0.00651,2395.7608707007666,368012.42253468
1710028800000,2024-03-10 00:00:00,XVG/USD,0.0062374,0.0064397,0.0058765,0.0061796,1593.6569286476933,257889.98133337
1709942400000,2024-03-09 00:00:00,XVG/USD,0.0058562,0.0062753,0.0058329,0.0062627,1206.7140406118012,192682.71522056
1709856000000,2024-03-08 00:00:00,XVG/USD,0.0059758,0.0060408,0.0055676,0.0058119,1599.9213084540454,275283.69525526
1709769600000,2024-03-07 00:00:00,XVG/USD,0.0058703,0.0059932,0.0055782,0.0059354,2622.872841382699,441903.29908392
1709683200000,2024-03-06 00:00:00,XVG/USD,0.0055628,0.0060339,0.0054004,0.0058367,13326.988938138453,2283308.87969888
1709596800000,2024-03-05 00:00:00,XVG/USD,0.0065423,0.0070465,0.0046576,0.0055581,13685.411082584991,2462246.28606628
1709510400000,2024-03-04 00:00:00,XVG/USD,0.0061007,0.0068194,0.0059782,0.0064987,4766.71883647509,733488.05706912
1709424000000,2024-03-03 00:00:00,XVG/USD,0.0061257,0.0062937,0.0055709,0.0060995,10580.631871541484,1734672.00123641
1709337600000,2024-03-02 00:00:00,XVG/USD,0.0061857,0.006301,0.006,0.0061205,2939.199102118763,480222.05736766
1709251200000,2024-03-01 00:00:00,XVG/USD,0.0059916,0.006284,0.0059804,0.0061801,3964.5132581836924,641496.6195019
1709164800000,2024-02-29 00:00:00,XVG/USD,0.0063013,0.0064316,0.0059772,0.0060271,4834.415458745007,802113.03259362
1709078400000,2024-02-28 00:00:00,XVG/USD,0.0064253,0.0068166,0.0060631,0.0062567,9419.782615234606,1505551.2674788
1708992000000,2024-02-27 00:00:00,XVG/USD,0.0073713,0.00825,0.0063709,0.0064903,9920.388452238669,1528494.59227442
1708905600000,2024-02-26 00:00:00,XVG/USD,0.0061059,0.008,0.0060138,0.0074275,32198.84115606762,4335084.63898588
1708819200000,2024-02-25 00:00:00,XVG/USD,0.0039813,0.00618,0.00395,0.0060307,20242.76444157398,3356619.37114663
1708732800000,2024-02-24 00:00:00,XVG/USD,0.0038501,0.0039913,0.0037827,0.0039729,637.5874883961163,160484.15223039
