https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OMG
1716768000000,2024-05-27 00:00:00,OMG/USD,0.72577,0.77155,0.72025,0.75413,7743.1591591459855,10267.67156743
1716681600000,2024-05-26 00:00:00,OMG/USD,0.73485,0.73488,0.71339,0.72481,4148.3002525713655,5723.29334939
1716595200000,2024-05-25 00:00:00,OMG/USD,0.71967,0.75,0.71967,0.73789,13692.870480994772,18556.79095935
1716508800000,2024-05-24 00:00:00,OMG/USD,0.70742,0.7317,0.69451,0.7205,61545.47468703354,85420.50615827
1716422400000,2024-05-23 00:00:00,OMG/USD,0.71736,0.73443,0.67259,0.7072,26437.041964359523,37382.69508535
1716336000000,2024-05-22 00:00:00,OMG/USD,0.72032,0.73146,0.70532,0.71481,37369.434547067256,52278.83570049
1716249600000,2024-05-21 00:00:00,OMG/USD,0.71362,0.73008,0.70649,0.72028,49369.43566464509,68542.00542101
1716163200000,2024-05-20 00:00:00,OMG/USD,0.63974,0.71904,0.63453,0.71333,30646.59325200585,42962.71466503
1716076800000,2024-05-19 00:00:00,OMG/USD,0.66479,0.67155,0.63777,0.63923,7705.991796742343,12055.11599384
1715990400000,2024-05-18 00:00:00,OMG/USD,0.66846,0.67281,0.6537,0.66451,6498.344180865445,9779.15182746
1715904000000,2024-05-17 00:00:00,OMG/USD,0.64914,0.67482,0.64319,0.66902,7469.853550428722,11165.36658161
1715817600000,2024-05-16 00:00:00,OMG/USD,0.64734,0.66257,0.62932,0.64851,9332.481923092457,14390.65230003
1715731200000,2024-05-15 00:00:00,OMG/USD,0.59611,0.65025,0.5901,0.64581,9601.486072171425,14867.35428713
1715644800000,2024-05-14 00:00:00,OMG/USD,0.61231,0.61806,0.59068,0.59197,4573.927747451474,7726.62085486
1715558400000,2024-05-13 00:00:00,OMG/USD,0.61925,0.63463,0.58964,0.61058,5929.596795216606,9711.41667794
1715472000000,2024-05-12 00:00:00,OMG/USD,0.63187,0.63802,0.61256,0.61639,8788.037138210113,14257.26753875
1715385600000,2024-05-11 00:00:00,OMG/USD,0.64392,0.65464,0.63069,0.63069,5707.117403085079,9049.00569707
1715299200000,2024-05-10 00:00:00,OMG/USD,0.6734,0.68012,0.63277,0.64243,9582.064047818978,14915.34338032
1715212800000,2024-05-09 00:00:00,OMG/USD,0.65206,0.67564,0.63522,0.67438,6507.323168705807,9649.34186765
1715126400000,2024-05-08 00:00:00,OMG/USD,0.64593,0.66688,0.6325,0.65206,12359.853346447973,18955.0859529
1715040000000,2024-05-07 00:00:00,OMG/USD,0.65734,0.67239,0.64498,0.64847,7134.578887276117,11002.17263293
1714953600000,2024-05-06 00:00:00,OMG/USD,0.66576,0.69785,0.65587,0.65645,36521.73192321339,55635.20743882
1714867200000,2024-05-05 00:00:00,OMG/USD,0.65455,0.67354,0.63866,0.66707,7152.122470895443,10721.69707961
1714780800000,2024-05-04 00:00:00,OMG/USD,0.66577,0.67044,0.65548,0.65548,8147.817795449979,12430.30724881
1714694400000,2024-05-03 00:00:00,OMG/USD,0.64688,0.67446,0.63235,0.66493,17697.878170342836,26616.15233234
1714608000000,2024-05-02 00:00:00,OMG/USD,0.61757,0.66029,0.59272,0.64887,17994.21652064895,27731.62038721
1714521600000,2024-05-01 00:00:00,OMG/USD,0.60293,0.61777,0.56611,0.61579,16737.4309477471,27180.42018829
1714435200000,2024-04-30 00:00:00,OMG/USD,0.63805,0.64779,0.5806,0.60907,18277.307896747952,30008.55057177
1714348800000,2024-04-29 00:00:00,OMG/USD,0.65392,0.65994,0.62291,0.6401,8096.151890564622,12648.26103822
