https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume EOS
1717027200000,2024-05-30 00:00:00,EOS/USD,0.80904,0.82345,0.786,0.81059,88918.46830625711,109695.98478424
1716940800000,2024-05-29 00:00:00,EOS/USD,0.80956,0.82445,0.80461,0.8068,130984.54089842121,162350.69521371
1716854400000,2024-05-28 00:00:00,EOS/USD,0.83893,0.83989,0.8,0.80929,118882.85729525247,146897.72182438
1716768000000,2024-05-27 00:00:00,EOS/USD,0.83235,0.85099,0.82426,0.84141,71354.9170753296,84803.9803132
1716681600000,2024-05-26 00:00:00,EOS/USD,0.85057,0.85221,0.82334,0.832,35357.3144982304,42496.77223345
1716595200000,2024-05-25 00:00:00,EOS/USD,0.84362,0.86357,0.83993,0.85149,44790.799711462816,52602.84878444
1716508800000,2024-05-24 00:00:00,EOS/USD,0.82301,0.84628,0.81203,0.8442,38678.76183856092,45817.05974717
1716422400000,2024-05-23 00:00:00,EOS/USD,0.84619,0.85803,0.77957,0.82271,199223.6997053524,242155.43715933
1716336000000,2024-05-22 00:00:00,EOS/USD,0.86972,0.86972,0.8359,0.84527,128171.67464603808,151634.00410051
1716249600000,2024-05-21 00:00:00,EOS/USD,0.85455,0.88719,0.83975,0.86944,236603.36819692646,272133.06058719
1716163200000,2024-05-20 00:00:00,EOS/USD,0.78581,0.85686,0.7839,0.85289,305498.41297200345,358192.04466227
1716076800000,2024-05-19 00:00:00,EOS/USD,0.81222,0.81768,0.782,0.78465,52902.07212330216,67421.23510266
1715990400000,2024-05-18 00:00:00,EOS/USD,0.82151,0.82711,0.8099,0.81447,70264.67921748696,86270.4325727
1715904000000,2024-05-17 00:00:00,EOS/USD,0.80521,0.83071,0.799,0.82188,94418.59960816428,114881.24739398
1715817600000,2024-05-16 00:00:00,EOS/USD,0.803,0.80819,0.7912,0.80654,132464.71636481187,164238.24778041
1715731200000,2024-05-15 00:00:00,EOS/USD,0.75992,0.80252,0.7497,0.80252,85554.1837962274,106606.91795373
1715644800000,2024-05-14 00:00:00,EOS/USD,0.78521,0.79529,0.75601,0.75741,134000.61219347184,176919.51808594
1715558400000,2024-05-13 00:00:00,EOS/USD,0.78024,0.79242,0.754,0.78731,294804.9497700281,374445.83425846
1715472000000,2024-05-12 00:00:00,EOS/USD,0.78269,0.79084,0.7699,0.77942,37963.99187518834,48708.003227
1715385600000,2024-05-11 00:00:00,EOS/USD,0.79066,0.79794,0.77811,0.78216,21154.17552743546,27045.84167873
1715299200000,2024-05-10 00:00:00,EOS/USD,0.819,0.83683,0.78399,0.79459,91159.66517076571,114725.41206253
1715212800000,2024-05-09 00:00:00,EOS/USD,0.79832,0.825,0.7906,0.81881,20468.776656491078,24998.20062834
1715126400000,2024-05-08 00:00:00,EOS/USD,0.79679,0.81431,0.78161,0.79741,141018.69148318507,176845.90296483
1715040000000,2024-05-07 00:00:00,EOS/USD,0.81715,0.82402,0.79081,0.79653,124726.73777911351,156587.62103011
1714953600000,2024-05-06 00:00:00,EOS/USD,0.8245,0.85096,0.81827,0.81827,161569.0228184638,197451.969177
1714867200000,2024-05-05 00:00:00,EOS/USD,0.81937,0.8334,0.80721,0.82539,36024.38185352658,43645.28508163
1714780800000,2024-05-04 00:00:00,EOS/USD,0.82937,0.83289,0.81566,0.819,35815.188504472644,43730.38889435
1714694400000,2024-05-03 00:00:00,EOS/USD,0.8182,0.84105,0.80297,0.83085,158842.38624558225,191180.58162795
1714608000000,2024-05-02 00:00:00,EOS/USD,0.7798,0.83291,0.76345,0.82043,324287.4100603459,395265.17808996
1714521600000,2024-05-01 00:00:00,EOS/USD,0.76546,0.78678,0.7132,0.78291,578746.5865487916,739224.92566041
1714435200000,2024-04-30 00:00:00,EOS/USD,0.80528,0.82669,0.74309,0.7615,406015.37074212247,533178.42513739
1714348800000,2024-04-29 00:00:00,EOS/USD,0.7916,0.808,0.7744,0.80689,413693.5436609282,512701.28971846
1714262400000,2024-04-28 00:00:00,EOS/USD,0.80602,0.828,0.78721,0.78954,50169.97429865832,63543.29647473
1714176000000,2024-04-27 00:00:00,EOS/USD,0.83417,0.83958,0.80086,0.80766,105191.22655246597,130241.96636266
1714089600000,2024-04-26 00:00:00,EOS/USD,0.84231,0.84899,0.79959,0.83235,711839.5191674707,855216.57856367
1714003200000,2024-04-25 00:00:00,EOS/USD,0.82506,0.96401,0.82104,0.84401,601230.1825021852,712349.59597894
1713916800000,2024-04-24 00:00:00,EOS/USD,0.8381,0.87839,0.81412,0.82506,238780.15609358923,289409.44427507
1713830400000,2024-04-23 00:00:00,EOS/USD,0.84962,0.85826,0.83344,0.8381,434692.2124766303,518663.89747838
1713744000000,2024-04-22 00:00:00,EOS/USD,0.8141,0.86594,0.80959,0.84962,506852.8058136134,596564.11785694
1713657600000,2024-04-21 00:00:00,EOS/USD,0.82113,0.83121,0.79912,0.81231,164024.2523032742,201923.22180359002
1713571200000,2024-04-20 00:00:00,EOS/USD,0.77522,0.83217,0.77344,0.82409,102638.10072607723,124547.1983959
1713484800000,2024-04-19 00:00:00,EOS/USD,0.7598,0.79231,0.7071,0.7763,193029.2788064253,248652.94191218
1713398400000,2024-04-18 00:00:00,EOS/USD,0.73343,0.7665,0.71641,0.76026,135222.10456827062,177862.97394085
1713312000000,2024-04-17 00:00:00,EOS/USD,0.74818,0.75849,0.70525,0.73235,234246.27267424713,319855.63279067
1713225600000,2024-04-16 00:00:00,EOS/USD,0.75059,0.76279,0.71862,0.7497,294282.9904785685,392534.33437184
1713139200000,2024-04-15 00:00:00,EOS/USD,0.7724,0.81847,0.71816,0.75654,1247764.1303975473,1649303.57997931
1713052800000,2024-04-14 00:00:00,EOS/USD,0.7299,0.78113,0.70227,0.77452,467852.72113197576,604055.05491398
1712966400000,2024-04-13 00:00:00,EOS/USD,0.93339,0.93564,0.651,0.7316,882556.3501851008,1206337.27471993
1712880000000,2024-04-12 00:00:00,EOS/USD,1.1125,1.1518,0.82724,0.9381,967844.6608541041,1031707.34554323
1712793600000,2024-04-11 00:00:00,EOS/USD,1.0557,1.1319,1.054,1.1172,443329.66910873563,396822.11699672
1712707200000,2024-04-10 00:00:00,EOS/USD,1.0742,1.0793,1.0065,1.06,160631.6069715258,151539.25185993
1712620800000,2024-04-09 00:00:00,EOS/USD,1.1002,1.1342,1.0638,1.0691,559831.5179530882,523647.47727349
1712534400000,2024-04-08 00:00:00,EOS/USD,1.0283,1.1424,1.0071,1.0994,588621.3885102416,535402.39085887
1712448000000,2024-04-07 00:00:00,EOS/USD,1.0215,1.0427,1.0174,1.0294,391037.7800025633,379869.6133695
1712361600000,2024-04-06 00:00:00,EOS/USD,0.99084,1.0238,0.98769,1.022,171394.7460509823,167705.23096965
1712275200000,2024-04-05 00:00:00,EOS/USD,0.9918,1.003,0.95,0.99011,81419.38354228417,82232.66459513
1712188800000,2024-04-04 00:00:00,EOS/USD,0.95194,1.0046,0.93881,0.99374,277340.4543694811,279087.54238481
1712102400000,2024-04-03 00:00:00,EOS/USD,0.97009,0.98769,0.9341,0.95532,313608.21008774405,328275.56220716
1712016000000,2024-04-02 00:00:00,EOS/USD,1.0383,1.0383,0.95379,0.96695,153513.8050919944,158760.85122498
1711929600000,2024-04-01 00:00:00,EOS/USD,1.1026,1.116,1.019,1.0399,185668.12533147316,178544.21130058
1711843200000,2024-03-31 00:00:00,EOS/USD,1.0748,1.1094,1.0745,1.1041,114877.2657750774,104046.06989863
1711756800000,2024-03-30 00:00:00,EOS/USD,1.1036,1.1036,1.0684,1.0761,59960.83527233483,55720.50485302
1711670400000,2024-03-29 00:00:00,EOS/USD,1.0978,1.1355,1.08,1.1055,281839.990676143,254943.45606164
1711584000000,2024-03-28 00:00:00,EOS/USD,1.0625,1.1222,1.0357,1.0987,657204.8280698848,598165.85789559
1711497600000,2024-03-27 00:00:00,EOS/USD,1.0872,1.1049,1.0334,1.06,559159.0379063126,527508.52632671
1711411200000,2024-03-26 00:00:00,EOS/USD,1.0656,1.101,1.0601,1.0888,1113113.7703310598,1022330.79567511
1711324800000,2024-03-25 00:00:00,EOS/USD,1.047,1.0826,1.041,1.0667,159204.3803965552,149249.44257669
1711238400000,2024-03-24 00:00:00,EOS/USD,1.0399,1.0547,1.019,1.052,143182.53472401237,136105.07103043
1711152000000,2024-03-23 00:00:00,EOS/USD,0.97645,1.0609,0.9714,1.0373,121973.02566738462,117587.02946822
1711065600000,2024-03-22 00:00:00,EOS/USD,1.0098,1.016,0.94855,0.9784,254199.01425706214,259810.93035268
1710979200000,2024-03-21 00:00:00,EOS/USD,1.0005,1.0297,0.98397,1.0138,147382.16712439843,145375.97861945
1710892800000,2024-03-20 00:00:00,EOS/USD,0.90865,1.0099,0.88223,1.0008,308240.35592586576,307993.96075726
1710806400000,2024-03-19 00:00:00,EOS/USD,0.98301,0.99055,0.88136,0.91198,1156033.2778332818,1267608.14692568
1710720000000,2024-03-18 00:00:00,EOS/USD,1.009,1.0425,0.9517,0.98651,380003.5091893596,385199.8552365
1710633600000,2024-03-17 00:00:00,EOS/USD,0.98684,1.0239,0.93608,1.0161,199401.21292839048,196241.7212168
1710547200000,2024-03-16 00:00:00,EOS/USD,1.0651,1.085,0.9603,0.9869,468453.6020746327,474671.80268987
1710460800000,2024-03-15 00:00:00,EOS/USD,1.1394,1.1538,0.99687,1.0687,442326.4144267668,413892.0318394
1710374400000,2024-03-14 00:00:00,EOS/USD,1.1791,1.2093,1.0755,1.138,526631.3002831654,462769.15666359
1710288000000,2024-03-13 00:00:00,EOS/USD,1.1824,1.2184,1.1524,1.1829,351318.93760613695,296998.00287948
1710201600000,2024-03-12 00:00:00,EOS/USD,1.2314,1.2384,1.101,1.1818,725635.0307505208,614008.31845534
1710115200000,2024-03-11 00:00:00,EOS/USD,1.1439,1.2666,1.0952,1.2306,3516067.5083948825,2857197.71525669
1710028800000,2024-03-10 00:00:00,EOS/USD,1.1988,1.2156,1.1164,1.1439,571737.1592548416,499813.93413309
1709942400000,2024-03-09 00:00:00,EOS/USD,1.1932,1.2263,1.1783,1.1988,253021.66468304934,211062.44968556
1709856000000,2024-03-08 00:00:00,EOS/USD,1.2509,1.3315,1.1302,1.1952,757670.6568077673,633927.92570931
1709769600000,2024-03-07 00:00:00,EOS/USD,1.0706,1.3586,1.0636,1.2481,4079124.0652309884,3268267.01805223
1709683200000,2024-03-06 00:00:00,EOS/USD,1.0264,1.0697,0.97335,1.0697,1147351.3179554984,1072591.67799897
1709596800000,2024-03-05 00:00:00,EOS/USD,1.0967,1.1603,0.90406,1.0302,943883.9174813875,916214.24721548
1709510400000,2024-03-04 00:00:00,EOS/USD,1.0688,1.148,1.0522,1.0999,448366.99233165727,407643.41515743
1709424000000,2024-03-03 00:00:00,EOS/USD,1.1076,1.1076,0.9702,1.0693,355483.7414228738,332445.28329082
1709337600000,2024-03-02 00:00:00,EOS/USD,0.91317,1.13,0.9081,1.1191,610065.6564210509,545139.53750429
1709251200000,2024-03-01 00:00:00,EOS/USD,0.86198,0.91143,0.85841,0.91143,132662.01747050232,145553.70952295
1709164800000,2024-02-29 00:00:00,EOS/USD,0.82999,0.89346,0.82866,0.86109,608791.2817788002,707000.75692297
1709078400000,2024-02-28 00:00:00,EOS/USD,0.8325,0.86868,0.7739,0.82877,1219087.0085605583,1470959.38385868
1708992000000,2024-02-27 00:00:00,EOS/USD,0.81318,0.83646,0.80705,0.83359,1299706.6996680014,1559167.8159143
1708905600000,2024-02-26 00:00:00,EOS/USD,0.79924,0.81318,0.77513,0.81182,835406.7832318629,1029054.20318773
1708819200000,2024-02-25 00:00:00,EOS/USD,0.80259,0.80369,0.78745,0.79849,132347.75581241536,165747.54325341
1708732800000,2024-02-24 00:00:00,EOS/USD,0.80251,0.8244,0.78057,0.8042,174783.65998636166,217338.54760801
1708646400000,2024-02-23 00:00:00,EOS/USD,0.77751,0.8797,0.76193,0.79932,921749.943538475,1153167.62190171
1708560000000,2024-02-22 00:00:00,EOS/USD,0.76321,0.78236,0.75069,0.77262,363037.98204267066,469879.08938763
1708473600000,2024-02-21 00:00:00,EOS/USD,0.7956,0.79562,0.737,0.7633,146766.43259715475,192278.83217235
1708387200000,2024-02-20 00:00:00,EOS/USD,0.79165,0.80582,0.75201,0.8,350941.31933322403,438676.64916653
1708300800000,2024-02-19 00:00:00,EOS/USD,0.77755,0.79187,0.7746,0.79165,367699.0156454387,464471.69285093
1708214400000,2024-02-18 00:00:00,EOS/USD,0.76808,0.78485,0.76262,0.77639,161785.6179158196,208381.8930123
1708128000000,2024-02-17 00:00:00,EOS/USD,0.76599,0.77279,0.7432,0.76805,123193.44628750361,160397.69062887
1708041600000,2024-02-16 00:00:00,EOS/USD,0.77219,0.78256,0.74862,0.7669,272386.0812116869,355178.09520366
1707955200000,2024-02-15 00:00:00,EOS/USD,0.7563,0.78024,0.75556,0.77221,401088.8094590088,519403.80137399
1707868800000,2024-02-14 00:00:00,EOS/USD,0.73754,0.76077,0.7314,0.7567,163092.61396956537,215531.40474371
1707782400000,2024-02-13 00:00:00,EOS/USD,0.75694,0.7574,0.725,0.73812,318629.9066451756,431677.6494949
1707696000000,2024-02-12 00:00:00,EOS/USD,0.73579,0.75931,0.71868,0.75366,190519.17304154165,252791.93939116
1707609600000,2024-02-11 00:00:00,EOS/USD,0.73476,0.74841,0.73042,0.73482,96643.90521575113,131520.51552183
1707523200000,2024-02-10 00:00:00,EOS/USD,0.74306,0.74364,0.72585,0.73583,49182.69240044559,66839.74885564
1707436800000,2024-02-09 00:00:00,EOS/USD,0.71951,0.75233,0.71951,0.74157,566771.5260306976,764285.94202934
1707350400000,2024-02-08 00:00:00,EOS/USD,0.72008,0.72605,0.71326,0.719,155187.53066075043,215838.01204555
1707264000000,2024-02-07 00:00:00,EOS/USD,0.7131,0.72377,0.7038,0.71911,126525.64068394863,175947.54722358
1707177600000,2024-02-06 00:00:00,EOS/USD,0.71168,0.72302,0.71128,0.7123,184274.6182169505,258703.66168321
1707091200000,2024-02-05 00:00:00,EOS/USD,0.69701,0.71099,0.68849,0.7093,75366.12567900296,106254.23047935
1707004800000,2024-02-04 00:00:00,EOS/USD,0.71965,0.71965,0.692,0.69665,54551.71084442854,78305.7645079
1706918400000,2024-02-03 00:00:00,EOS/USD,0.71373,0.73224,0.7098,0.7236,190923.14675779289,263851.77827224
1706832000000,2024-02-02 00:00:00,EOS/USD,0.70296,0.71518,0.6966,0.71508,99043.0876804658,138506.30374289
1706745600000,2024-02-01 00:00:00,EOS/USD,0.69241,0.7043,0.67617,0.703,183365.7020033983,260833.14651977
1706659200000,2024-01-31 00:00:00,EOS/USD,0.70429,0.70534,0.67992,0.6892,101924.55788747943,147888.21515885
