https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BAT
1718928000000,2024-06-21 00:00:00,BAT/USD,0.19133,0.19467,0.18892,0.1902,5483.483850682735,28830.09385217
1718841600000,2024-06-20 00:00:00,BAT/USD,0.18677,0.19718,0.18677,0.19168,1803.3484058018432,9408.11981324
1718755200000,2024-06-19 00:00:00,BAT/USD,0.18293,0.19003,0.18183,0.18711,457.51350232741225,2445.1579409299998
1718668800000,2024-06-18 00:00:00,BAT/USD,0.19737,0.19737,0.17425,0.18204,5282.692317234113,29019.40407182
1718582400000,2024-06-17 00:00:00,BAT/USD,0.2131,0.21431,0.19478,0.19785,3058.2808809168378,15457.57331775
1718496000000,2024-06-16 00:00:00,BAT/USD,0.21348,0.215,0.20986,0.21391,456.8320745804996,2135.62748156
1718409600000,2024-06-15 00:00:00,BAT/USD,0.20983,0.21477,0.20962,0.21326,1102.6722169451916,5170.55339466
1718323200000,2024-06-14 00:00:00,BAT/USD,0.21242,0.21765,0.20464,0.21001,2129.388398373627,10139.461922640001
1718236800000,2024-06-13 00:00:00,BAT/USD,0.2238,0.22528,0.21065,0.21176,2033.0316921636104,9600.64078279
1718150400000,2024-06-12 00:00:00,BAT/USD,0.2157,0.22966,0.21085,0.22405,11696.748247950198,52205.97298795
1718064000000,2024-06-11 00:00:00,BAT/USD,0.22101,0.222,0.20716,0.2157,68258.94462355661,316453.15078144
1717977600000,2024-06-10 00:00:00,BAT/USD,0.2188,0.22467,0.2141,0.22051,7188.575038480765,32599.76889248
1717891200000,2024-06-09 00:00:00,BAT/USD,0.21248,0.21966,0.21207,0.21821,3386.4164990553577,15519.07107399
1717804800000,2024-06-08 00:00:00,BAT/USD,0.22867,0.2309,0.21171,0.2131,1582.189537989383,7424.63415293
1717718400000,2024-06-07 00:00:00,BAT/USD,0.24505,0.25323,0.21315,0.22933,6991.98761498803,30488.76123921
1717632000000,2024-06-06 00:00:00,BAT/USD,0.24908,0.24975,0.24253,0.2454,1091.0694391064221,4446.08573393
1717545600000,2024-06-05 00:00:00,BAT/USD,0.24262,0.25061,0.24262,0.24964,834.5045927198491,3342.83204903
1717459200000,2024-06-04 00:00:00,BAT/USD,0.24273,0.24332,0.23625,0.24332,1124.7295166126403,4622.42937947
1717372800000,2024-06-03 00:00:00,BAT/USD,0.24309,0.2489,0.24158,0.24295,4850.579109573818,19965.33899804
1717286400000,2024-06-02 00:00:00,BAT/USD,0.24183,0.24632,0.24055,0.24349,3672.206988187823,15081.55155525
1717200000000,2024-06-01 00:00:00,BAT/USD,0.24286,0.24333,0.23943,0.24225,4596.362930199877,18973.63438679
1717113600000,2024-05-31 00:00:00,BAT/USD,0.24299,0.24363,0.23665,0.24297,1262.3167622947517,5195.36058894
