https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETC
1717113600000,2024-05-31 00:00:00,ETC/USD,29.852,30.502,29.109,29.698,273019.12104269385,9193.18206757
1717027200000,2024-05-30 00:00:00,ETC/USD,30.521,30.734,29.295,29.833,166981.23299908993,5597.19884018
1716940800000,2024-05-29 00:00:00,ETC/USD,31.396,31.565,30.257,30.453,62824.72775500273,2063.0061982400002
1716854400000,2024-05-28 00:00:00,ETC/USD,31.904,31.904,30.668,31.449,77623.16092163128,2468.22350223
1716768000000,2024-05-27 00:00:00,ETC/USD,31.758,32.7,31.554,31.986,147827.05381382996,4621.617389290001
1716681600000,2024-05-26 00:00:00,ETC/USD,31.664,32.729,31.51,31.731,206147.63615584365,6496.72673902
1716595200000,2024-05-25 00:00:00,ETC/USD,31.687,32.293,31.326,31.694,26655.013898047597,841.0113554
1716508800000,2024-05-24 00:00:00,ETC/USD,32.538,33.926,31.106,31.604,148315.63074515865,4692.93857566
1716422400000,2024-05-23 00:00:00,ETC/USD,30.523,34.331,30.456,32.485,359666.9564471815,11071.7856379
1716336000000,2024-05-22 00:00:00,ETC/USD,31.732,31.965,29.686,30.41,246250.39995849898,8097.6783939
1716249600000,2024-05-21 00:00:00,ETC/USD,32.469,32.85,30.9,31.806,301134.29399017524,9467.84550054
1716163200000,2024-05-20 00:00:00,ETC/USD,27.654,33.0,27.504,32.321,345215.5661519452,10680.84422363
1716076800000,2024-05-19 00:00:00,ETC/USD,28.598,28.91,27.367,27.604,37264.4410052954,1349.96525885
1715990400000,2024-05-18 00:00:00,ETC/USD,28.315,29.186,28.231,28.665,68480.21655227024,2388.98365785
1715904000000,2024-05-17 00:00:00,ETC/USD,27.295,28.844,26.954,28.363,466131.24526096263,16434.48313863
1715817600000,2024-05-16 00:00:00,ETC/USD,27.135,27.504,26.671,27.272,87815.68739488776,3219.99440433
1715731200000,2024-05-15 00:00:00,ETC/USD,25.474,27.182,25.42,27.182,25494.386407191178,937.91429649
1715644800000,2024-05-14 00:00:00,ETC/USD,26.367,26.435,25.272,25.372,20277.43060953668,799.2050531900001
1715558400000,2024-05-13 00:00:00,ETC/USD,26.799,27.041,25.312,26.319,57723.31530726057,2193.21840903
1715472000000,2024-05-12 00:00:00,ETC/USD,26.561,26.981,26.376,26.775,38612.191934499744,1442.09867169
1715385600000,2024-05-11 00:00:00,ETC/USD,26.504,27.1,26.312,26.522,43078.75302244138,1624.26487529
1715299200000,2024-05-10 00:00:00,ETC/USD,27.663,27.848,26.166,26.425,19624.370805994502,742.64411754
1715212800000,2024-05-09 00:00:00,ETC/USD,27.215,27.872,26.956,27.712,30744.594383593598,1109.43253405
